Vùng,Giới tính,Năm,Tỷ lệ thất nghiệp,Tỷ lệ thiếu việc làm
Đồng bằng sông Hồng,Nam,2018,2.02,0.82
Trung du và miền núi phía Bắc,Nam,2018,0.92,1.64
Bắc Trung Bộ và duyên hải miền Trung,Nam,2018,2.37,1.8
Tây Nguyên,Nam,2018,0.56,2.37
Đông Nam Bộ,Nam,2018,2.66,0.54
Đồng bằng sông Cửu Long,Nam,2018,2.05,3.21
Đồng bằng sông Hồng,Nữ,2018,1.91,0.87
Trung du và miền núi phía Bắc,Nữ,2018,1.2,1.64
Bắc Trung Bộ và duyên hải miền Trung,Nữ,2018,3.08,1.8
Tây Nguyên,Nữ,2018,1.63,2.24
Đông Nam Bộ,Nữ,2018,2.59,0.52
Đồng bằng sông Cửu Long,Nữ,2018,3.59,3.11
Đồng bằng sông Hồng,Nam,2019,1.96,0.73
Trung du và miền núi phía Bắc,Nam,2019,1.58,1.8
Bắc Trung Bộ và duyên hải miền Trung,Nam,2019,2.48,1.7
Tây Nguyên,Nam,2019,1.28,1.62
Đông Nam Bộ,Nam,2019,2.44,0.41
Đồng bằng sông Cửu Long,Nam,2019,2.09,2.63
Đồng bằng sông Hồng,Nữ,2019,1.67,0.86
Trung du và miền núi phía Bắc,Nữ,2019,0.96,1.74
Bắc Trung Bộ và duyên hải miền Trung,Nữ,2019,2.46,2.27
Tây Nguyên,Nữ,2019,1.47,1.48
Đông Nam Bộ,Nữ,2019,2.46,0.55
Đồng bằng sông Cửu Long,Nữ,2019,4.03,2.99
Đồng bằng sông Hồng,Nam,2020,1.85,1.37
Trung du và miền núi phía Bắc,Nam,2020,0.96,2.44
Bắc Trung Bộ và duyên hải miền Trung,Nam,2020,2.65,2.92
Tây Nguyên,Nam,2020,1.14,5.38
Đông Nam Bộ,Nam,2020,2.56,1.65
Đồng bằng sông Cửu Long,Nam,2020,1.98,3.35
Đồng bằng sông Hồng,Nữ,2020,2.27,1.36
Trung du và miền núi phía Bắc,Nữ,2020,1.17,2.22
Bắc Trung Bộ và duyên hải miền Trung,Nữ,2020,3.77,3.2
Tây Nguyên,Nữ,2020,2.27,4.98
Đông Nam Bộ,Nữ,2020,4.04,1.58
Đồng bằng sông Cửu Long,Nữ,2020,4.03,3.65
Đồng bằng sông Hồng,Nam,2021,2.41,1.58
Trung du và miền núi phía Bắc,Nam,2021,2.67,2.15
Bắc Trung Bộ và duyên hải miền Trung,Nam,2021,3.21,3.85
Tây Nguyên,Nam,2021,0.71,3.58
Đông Nam Bộ,Nam,2021,4.52,3.63
Đồng bằng sông Cửu Long,Nam,2021,3.63,4.57
Đồng bằng sông Hồng,Nữ,2021,1.91,1.42
Trung du và miền núi phía Bắc,Nữ,2021,2.12,1.63
Bắc Trung Bộ và duyên hải miền Trung,Nữ,2021,3.41,3.43
Tây Nguyên,Nữ,2021,1.26,3.55
Đông Nam Bộ,Nữ,2021,4.84,3.92
Đồng bằng sông Cửu Long,Nữ,2021,4.68,3.96
Đồng bằng sông Hồng,Nam,2022,2.05,1.0
Trung du và miền núi phía Bắc,Nam,2022,2.39,2.28
Bắc Trung Bộ và duyên hải miền Trung,Nam,2022,2.31,3.22
Tây Nguyên,Nam,2022,0.51,3.03
Đông Nam Bộ,Nam,2022,3.09,1.29
Đồng bằng sông Cửu Long,Nam,2022,2.59,3.53
Đồng bằng sông Hồng,Nữ,2022,1.79,0.86
Trung du và miền núi phía Bắc,Nữ,2022,1.76,2.06
Bắc Trung Bộ và duyên hải miền Trung,Nữ,2022,2.94,2.83
Tây Nguyên,Nữ,2022,0.85,2.57
Đông Nam Bộ,Nữ,2022,2.62,1.52
Đồng bằng sông Cửu Long,Nữ,2022,3.02,3.72
