Tỉnh,Vĩ độ,Kinh độ
An Giang,10.5149025,105.1131792
Bà Rịa-Vũng Tàu,10.5819798,107.2899841
Bạc Liêu,9.347731699,105.5097064
Bắc Giang,21.3092863,106.6165128
Bắc Kạn,22.2571701,105.8588958
Bắc Ninh,21.1212051,106.0880245
Bến Tre,10.1093637,106.552567
Bình Dương,11.2240687,106.6674681
Bình Định,14.1525201,108.9239618
Bình Phước,11.6790213,106.797558
Bình Thuận,11.101462,107.9415938
Cà Mau,9.087542899,105.032047
Cao Bằng,22.7730867,106.0017225
Cần Thơ,10.0906589,105.5799367
Đà Nẵng,16.0544,108.2022
Đắk Lắk,12.8399392,108.2284947
Đắk Nông,12.1288687,107.5874261
Điện Biên,21.7210126,103.0410819
Đồng Nai,11.0063212,107.1921807
Đồng Tháp,10.6266659,105.6316218
Gia Lai,13.7964067,108.2608263
Hà Giang,22.6068909,104.79948
Hà Nam,20.5269088,105.9543527
Hà nội,21.028333,105.852778
Hà Tĩnh,18.2879059,105.7842774
Hải Dương,20.9443681,106.3780373
Hải Phòng,20.8624,106.6819
Hậu Giang,9.763319699,105.6379524
Hòa Bình,20.6609177,105.3924747
Hưng Yên,20.8193369,106.0314504
Kiên Giang,9.911394499,105.2533879
Kon Tum,14.6995372,107.9323831
Khánh Hòa,12.1960803,108.9950386
Lai Châu,22.3048728,102.9628862
Lạng Sơn,21.8567012,106.4424353
Lào Cai,22.2967657,104.0566164
Lâm Đồng,11.6937725,108.152754
Long An,10.6367,106.3594
Nam Định,20.2712241,106.1629895
Ninh Bình,20.1844832,105.9802529
Ninh Thuận,11.7449715,108.8983408
Nghệ An,19.3738868,104.9233469
Phú Thọ,21.321224,105.1267207
Phú Yên,13.2126552,109.0834225
Quảng Bình,17.5462658,106.2576229
Quảng Nam,15.5973344,107.9758089
Quảng Ninh,21.1718046,107.2012742
Quảng Ngãi,14.9635349,108.6642632
Quảng Trị,16.8581352,106.8588935
Sóc Trăng,9.586778899,105.9468456
Sơn La,21.1508502,103.8884294
Tây Ninh,11.404629,106.0033909
Tiền Giang,10.3833,106.3452
Tuyên Quang,22.1256755,105.2089725
Thái Bình,20.5296832,106.3876068
Thái Nguyên,21.6498502,105.8351394
Thanh Hóa,20.1071694,105.2124457
Thành phố Hồ Chí Minh,10.8231,106.6297
Thừa Thiên Huế,16.3375374,107.5563708
Trà Vinh,9.770460599,106.3563806
Vĩnh Long,10.25,105.9667
Vĩnh Phúc,21.311356,105.6032944
Yên Bái,21.8013688,104.5148066
